 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  136  found solution by enumeration  lp realx -41.0 --- Zero fixed vars :x147,x176,x347,x167,x302,x77,x175,x337,x351,x173,x189,x421,x346,x355,x63,x79,x144,x156,x220,x294,x303,x365,x105,x208,x293,x32,x146,x190,x67,x80,x168,x223,x305,x335,x366,x403,x425,x134,x155,x224,x274,x371,x73,x150,x179,x218,x328,x418,x29,x83,x276,x299,x315,x341,x369,x133,x166,x185,x329,x356,x106,x306,x336,x345,x407,x74,x163,x188,x296,x426,x86,x149,x177,x210,x225,x344,x354,x393,x28,x103,x164,x148,x316,x370,x180,x186,x331,x202,x349,x362,x44,x68,x183,x260,x300,x406,x178,x14,x78,x207,x228,x338,x352,x431,x59,x87,x108,x137,x143,x281,x325,x221,x359,x391,x24,x34,x82,x169,x201,x230,x242,x271,x277,x279,x339,x376,x33,x89,x94,x132,x174,x212,x238,x292,x312,x317,x377,x400,x422,x430,x448,x48,x76,x109,x135,x160,x229,x263,x324,x360,x368,x128,x415,x433,x451,x9,x45,x60,x69,x90,x191,x203,x154,x298,x313,x417,x423,x10,x62,x101,x115,x140,x195,x239,x270,x285,x314,x386,x396,x413,x446,x38,x43,x65,x97,x171,x198,x217,x222,x227,x245,x264,x321,x397,x401,x447,x22,x88,x113,x123,x130,x205,x236,x261,x16,x288,x295,x327,x410,x420,x428,x30,x47,x70,x104,x111,x124,x136,x157,x165,x215,x280,x308,x348,x96,x367,x382,x390,x439,x453,x3,x17,x51,x58,x184,x233,x244,x259,x275,x318,x374,x388,x392,x424,x25,x72,x119,x145,x151,x153,x181,x197,x204,x269,x286,x340,x343,x357,x381,x408,x432,x438,x419,x192,x460,x4,x36,x50,x107,x234,x255,x162,x291,x301,x214,x372,x373,x12,x26,x19,x39,x55,x98,x121,x158,x182,x194,x241,x243,x266,x332,x333,x363,x384,x254,x402,x454,x452,x13,x41,x49,x71,x116,x200,x196,x251,x235,x272,x161,x310,x342,x353,x358,x411,x437,x444,x441,x434,x456,x7,x15,x61,x114,x129,x37,x211,x248,x262,x267,x398,x93,x322,x380,x326,x409,x20,x31,x46,x75,x131,x100,x249,x252,x268,x273,x383,x416,x459,x2,x11,x23,x54,x110,x112,x118,x141,x172,x187,x226,x253,x283,x284,x304,x307,x319,x364,x387,x389,x414,x429,x199,x442,x449,x461,x21,x40,x52,x66,x91,x99,x125,x122,x206,x246,x256,x139,x311,x320,x323,x209,x127,x394,x405,x412,x450,x232,x462,x6,x27,x18,x53,x84,x117,x92,x152,x126,x237,x257,x258,x159,x290,x297,x309,x330,x375,x395,x435,x404,x443,x378,x458,  -- One fixed vars :x193,x56,x265,x142,x445,x287,x231,x457,x289,x455,x8,x440,x35,x120,x385,x361,x240,x42,x282,x427,x170,x85,x64,x334,x350,
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  282   node id is 19603
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_1
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_2
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_3
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_4
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_5
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_6
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_7
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_8
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_9
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_10
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_11
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_12
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_13
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_14
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_15
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_16
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_17
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_18
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_19
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_20
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_21
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_22
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_23
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_24
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_25
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_26
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_27
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_28
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_29
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_30
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_31
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_32
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_33
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_34
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_35
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_36
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_37
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_38
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_39
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_40
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_41
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_42
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_43
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_44
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_45
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_46
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_47
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_48
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_49
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_50
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_51
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_52
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_53
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_54
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_55
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_56
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_57
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_58
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_59
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_60
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_61
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_62
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_63
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_64
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_65
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_66
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_67
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_68
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_69
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_70
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_71
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_72
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_73
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_74
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_75
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_76
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_77
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_78
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_79
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_80
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_81
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_82
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_83
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_84
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_85
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_86
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_87
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_88
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_89
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_90
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_91
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_92
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_93
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_94
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_95
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_96
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_97
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_98
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_99
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_100
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_101
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_102
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_103
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_104
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_105
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_106
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_107
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_108
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_109
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_110
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_111
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_112
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_113
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_114
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_115
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_116
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_117
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_118
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_119
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_120
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_121
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_122
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_123
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_124
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_125
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_126
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_127
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_128
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_129
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_130
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_131
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_132
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_133
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_134
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_135
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_136
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_137
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_138
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_139
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_140
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_141
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_142
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_143
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_144
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_145
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_146
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_147
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_148
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_149
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_150
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_151
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_152
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_153
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_154
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_155
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_156
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_157
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_158
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_159
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_160
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_161
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_162
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_163
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_164
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_165
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_166
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_167
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_168
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_169
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_170
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_171
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_172
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_173
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_174
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_175
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_176
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_177
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_178
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_179
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_180
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_181
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_182
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_183
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_184
 WARN  2018-04-15 14:34:40,450  Enum_Solver.java  285  rect list for   constraint r_185
